2025-11-06 22:38:56.481 | INFO     | __main__:main:65 - Setting up the TradingHub and its agents.
2025-11-07 20:10:06.133 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.133355 | Avg Spread: 0.0826 (from 92 values)
2025-11-07 20:10:06.134 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.134067 | Avg Spread: 0.0820 (from 93 values)
2025-11-07 20:10:06.134 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.134743 | Avg Spread: 0.0816 (from 94 values)
2025-11-07 20:10:06.135 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.135313 | Avg Spread: 0.0812 (from 95 values)
2025-11-07 20:10:06.136 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.136085 | Avg Spread: 0.0806 (from 96 values)
2025-11-07 20:10:06.137 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.136980 | Avg Spread: 0.0801 (from 97 values)
2025-11-07 20:10:06.137 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.137430 | Avg Spread: 0.0795 (from 98 values)
2025-11-07 20:10:06.137 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.137839 | Avg Spread: 0.0790 (from 99 values)
2025-11-07 20:10:06.138 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.138225 | Avg Spread: 0.0785 (from 100 values)
2025-11-07 20:10:06.138 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.138704 | Avg Spread: 0.0785 (from 100 values)
2025-11-07 20:10:06.139 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.139059 | Avg Spread: 0.0784 (from 100 values)
